id;libelle;description;prix
1;Buckinghamshire;../fake-data/blob/hipster.txt;39041
2;Licensed Cotton Shoes;../fake-data/blob/hipster.txt;21860
3;copy Directives;../fake-data/blob/hipster.txt;94921
4;Corner Cambridgeshire;../fake-data/blob/hipster.txt;1754
5;compress;../fake-data/blob/hipster.txt;72906
6;Home Loan Account maroon;../fake-data/blob/hipster.txt;68453
7;e-business microchip fuchsia;../fake-data/blob/hipster.txt;25864
8;Fresh leverage;../fake-data/blob/hipster.txt;84854
9;Tunisia invoice;../fake-data/blob/hipster.txt;95839
10;Persistent alliance;../fake-data/blob/hipster.txt;29186
