id;date_creation;date_echeance;statut
1;2021-02-06T10:49:32;2021-02-06;robust proactive
2;2021-02-06T14:26:10;2021-02-06;Health
3;2021-02-06T21:06:52;2021-02-06;Health transmitting explicit
4;2021-02-06T15:14:00;2021-02-06;e-tailers
5;2021-02-06T11:35:26;2021-02-06;Identity quantifying Shoes
6;2021-02-06T05:52:54;2021-02-06;Checking Account Creative payment
7;2021-02-06T23:14:00;2021-02-06;Shoal Awesome bandwidth
8;2021-02-06T16:41:19;2021-02-06;solid state
9;2021-02-06T07:10:05;2021-02-06;asymmetric Home Loan Account Lead
10;2021-02-06T16:20:12;2021-02-06;Investment Account
